model,model_label,case_id,category,condition_type,difficulty,num_rules,all_correct,rule_accuracy,false_positives,false_negatives,total_rules,rules_correct
gpt-4.1,GPT-4.1,nm_spring_5,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_6,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_spring_7,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_0,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_1,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_2,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_3,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_4,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_5,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_6,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,nm_java_7,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_0,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_1,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_2,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_3,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_4,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_5,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_6,sustained,adversarial,hard,1,False,0.0,0,1,1,0
gpt-4.1,GPT-4.1,sust_7,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_8,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_9,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_10,sustained,adversarial,hard,1,False,0.0,1,0,1,0
gpt-4.1,GPT-4.1,sust_11,sustained,adversarial,hard,1,False,0.0,1,0,1,0
gpt-4.1,GPT-4.1,sust_12,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,sust_13,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,scale_4_0,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1,GPT-4.1,scale_4_1,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1,GPT-4.1,scale_4_2,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1,GPT-4.1,scale_4_3,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1,GPT-4.1,scale_4_4,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1,GPT-4.1,scale_4_5,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1,GPT-4.1,scale_8_0,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1,GPT-4.1,scale_8_1,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1,GPT-4.1,scale_8_2,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1,GPT-4.1,scale_8_3,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1,GPT-4.1,scale_8_4,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1,GPT-4.1,scale_8_5,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1,GPT-4.1,scale_12_0,scaling,scale_12,hard,12,True,1.0,0,0,12,12
gpt-4.1,GPT-4.1,scale_12_1,scaling,scale_12,hard,12,True,1.0,0,0,12,12
gpt-4.1,GPT-4.1,scale_12_2,scaling,scale_12,hard,12,True,1.0,0,0,12,12
gpt-4.1,GPT-4.1,scale_12_3,scaling,scale_12,hard,12,True,1.0,0,0,12,12
gpt-4.1,GPT-4.1,scale_12_4,scaling,scale_12,hard,12,True,1.0,0,0,12,12
gpt-4.1,GPT-4.1,scale_12_5,scaling,scale_12,hard,12,True,1.0,0,0,12,12
gpt-4.1,GPT-4.1,scale_16_0,scaling,scale_16,hard,16,True,1.0,0,0,16,16
gpt-4.1,GPT-4.1,scale_16_1,scaling,scale_16,hard,16,True,1.0,0,0,16,16
gpt-4.1,GPT-4.1,scale_16_2,scaling,scale_16,hard,16,True,1.0,0,0,16,16
gpt-4.1,GPT-4.1,scale_16_3,scaling,scale_16,hard,16,True,1.0,0,0,16,16
gpt-4.1,GPT-4.1,scale_16_4,scaling,scale_16,hard,16,True,1.0,0,0,16,16
gpt-4.1,GPT-4.1,scale_16_5,scaling,scale_16,hard,16,True,1.0,0,0,16,16
gpt-4.1,GPT-4.1,neg_0,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_1,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_2,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_3,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_4,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_5,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_6,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,neg_7,negation,negation,medium,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,dneg_0,negation,double_negation,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,dneg_1,negation,double_negation,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,dneg_2,negation,double_negation,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,dneg_3,negation,double_negation,hard,1,True,1.0,0,0,1,1
gpt-4.1,GPT-4.1,ite3_0,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_1,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_2,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_3,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_4,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_5,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_6,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_7,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_8,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1,GPT-4.1,ite3_9,ifthenelse,threeway,medium,3,True,1.0,0,0,3,3
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_0_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_0_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_0_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_0_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_0_1,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_0_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_1_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_1_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_1_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_1_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_1_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_1_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_2_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_2_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_2_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_2_0,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_2_1,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_2_2,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_3_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_3_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_3_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_3_0,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_3_1,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_3_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_4_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_4_1,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_trigger_4_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_4_0,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_4_1,lexical,keyword,easy,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,lex_notrigger_4_2,lexical,keyword,easy,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_0,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_1,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_2,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_3,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_4,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_5,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_6,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_7,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_8,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_sentiment_9,semantic,sentiment,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_0,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_1,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_2,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_3,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_4,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_5,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_6,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_formality_7,semantic,formality,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_0,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_1,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_2,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_3,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_4,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_5,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_6,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_7,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_8,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_request_9,semantic,request_type,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_0,semantic,domain,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sem_domain_1,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_2,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_3,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_4,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_5,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_6,semantic,domain,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sem_domain_7,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sem_domain_8,semantic,domain,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sem_domain_9,semantic,domain,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_0,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_1,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_2,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_3,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_4,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_5,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_6,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_spring_7,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_0,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_1,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_2,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_3,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_4,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_5,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_6,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,nm_java_7,nearmiss,polysemy,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_0,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_1,sustained,adversarial,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sust_2,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_3,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_4,sustained,adversarial,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sust_5,sustained,adversarial,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sust_6,sustained,adversarial,hard,1,False,0.0,0,1,1,0
gpt-4.1-mini,GPT-4.1-mini,sust_7,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_8,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_9,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_10,sustained,adversarial,hard,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,sust_11,sustained,adversarial,hard,1,False,0.0,1,0,1,0
gpt-4.1-mini,GPT-4.1-mini,sust_12,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,sust_13,sustained,adversarial,hard,1,True,1.0,0,0,1,1
gpt-4.1-mini,GPT-4.1-mini,scale_4_0,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1-mini,GPT-4.1-mini,scale_4_1,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1-mini,GPT-4.1-mini,scale_4_2,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1-mini,GPT-4.1-mini,scale_4_3,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1-mini,GPT-4.1-mini,scale_4_4,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1-mini,GPT-4.1-mini,scale_4_5,scaling,scale_4,easy,4,True,1.0,0,0,4,4
gpt-4.1-mini,GPT-4.1-mini,scale_8_0,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1-mini,GPT-4.1-mini,scale_8_1,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1-mini,GPT-4.1-mini,scale_8_2,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1-mini,GPT-4.1-mini,scale_8_3,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1-mini,GPT-4.1-mini,scale_8_4,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1-mini,GPT-4.1-mini,scale_8_5,scaling,scale_8,medium,8,True,1.0,0,0,8,8
gpt-4.1-mini,GPT-4.1-mini,scale_12_0,scaling,scale_12,hard,12,True,1.0,0,0,12,12
